Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,6671144347,66 - Свердловская область,г Екатеринбург,,10.03.2021,Нет,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,7719739763,77 - г.Москва,,,01.08.2016,Да,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ ГРУПП""",Юридическое лицо,Малое предприятие,7704828107,77 - г.Москва,,,01.08.2016,Нет,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ КОМПАНИ""",Юридическое лицо,Малое предприятие,9701093264,77 - г.Москва,,,10.04.2024,Нет,
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ СТРОЙ""",Юридическое лицо,Малое предприятие,5024152379,50 - Московская область,г Красногорск,,01.08.2016,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ СТРОЙ""",Юридическое лицо,Малое предприятие,276157094,02 - Республика Башкортостан,г Уфа,,01.08.2016,Нет,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,5040074664,50 - Московская область,г Раменское,д Юрово,01.08.2016,Да,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,7451258333,74 - Челябинская область,г Челябинск,,01.08.2016,Нет,28.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ-СТРОЙ""",Юридическое лицо,Малое предприятие,2311256217,23 - Краснодарский край,г Краснодар,,10.04.2018,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,2016002695,20 - Чеченская Республика,г Грозный,,10.06.2018,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,546015311,05 - Республика Дагестан,г Кизилюрт,,01.08.2016,Нет,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Юридическое лицо,Малое предприятие,7456050635,74 - Челябинская область,г Магнитогорск,,10.06.2022,Нет,59.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛГРУППСТРОЙ""",Юридическое лицо,Среднее предприятие,7604259048,76 - Ярославская область,г Ярославль,,01.08.2016,Да,163.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛПРОМ""",Юридическое лицо,Малое предприятие,2311290634,23 - Краснодарский край,г Краснодар,,10.07.2019,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,7722706180,77 - г.Москва,,,01.08.2016,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ """,Юридическое лицо,Малое предприятие,4825018430,48 - Липецкая область,г Липецк,,01.08.2016,Нет,50.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,4632289539,46 - Курская область,г Курск,,10.03.2022,Да,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,2536308993,25 - Приморский край,г Владивосток,,10.04.2018,Да,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,7716663611,50 - Московская область,г Красногорск,,01.08.2016,Нет,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,7726429730,77 - г.Москва,,,10.05.2018,Да,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Среднее предприятие,5507254386,55 - Омская область,г Омск,,10.05.2017,Да,152.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,9704013355,77 - г.Москва,,,10.04.2020,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙ""",Юридическое лицо,Малое предприятие,9723145188,77 - г.Москва,,,10.04.2022,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7202188220,72 - Тюменская область,г Тюмень,,01.08.2016,Да,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,3662139240,36 - Воронежская область,г Воронеж,,01.08.2016,Нет,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЬНЫЙ РЕМОНТ И СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,3528164845,77 - г.Москва,,,01.08.2016,Да,45.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛЮГСТРОЙ""",Юридическое лицо,Малое предприятие,2301092577,23 - Краснодарский край,г Анапа,,01.08.2016,Нет,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТЕЛЬ""",Юридическое лицо,Малое предприятие,6133001029,61 - Ростовская область,,п Тарасовский,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТЕЛЬ""",Юридическое лицо,Малое предприятие,7116010392,71 - Тульская область,г Новомосковск,,01.08.2016,Да,59.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТЕЛЬ""",Юридическое лицо,Малое предприятие,7816235786,78 - г.Санкт-Петербург,,,01.08.2016,Да,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМДОРЭЛЕКТРОСТРОЙ""",Юридическое лицо,Малое предприятие,5032234459,50 - Московская область,г Жуковский,,01.08.2016,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМОНТ""",Юридическое лицо,Малое предприятие,7447277975,74 - Челябинская область,г Челябинск,,10.11.2017,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,265043578,02 - Республика Башкортостан,г Октябрьский,,10.09.2016,Да,31.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,268052852,02 - Республика Башкортостан,г Стерлитамак,,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,4703145102,08 - Республика Калмыкия,г Элиста,,01.08.2016,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Среднее предприятие,2524004983,25 - Приморский край,г Находка,,10.07.2021,Нет,152.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Малое предприятие,7839089926,78 - г.Санкт-Петербург,,,10.09.2017,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Малое предприятие,7716891174,77 - г.Москва,,,10.03.2018,Нет,41.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Малое предприятие,9102270411,77 - г.Москва,,,10.03.2021,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙ""",Юридическое лицо,Среднее предприятие,5027226445,50 - Московская область,г Котельники,,10.07.2023,Да,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7743221700,77 - г.Москва,,,10.11.2023,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПТАЖ""",Юридическое лицо,Малое предприятие,2721238010,27 - Хабаровский край,г Хабаровск,,10.09.2018,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПЭНЕРГОСТРОЙ СПБ""",Юридическое лицо,Среднее предприятие,7814676249,78 - г.Санкт-Петербург,,,10.01.2017,Да,130.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАТ 1""",Юридическое лицо,Малое предприятие,608043495,06 - Республика Ингушетия,ГОРОД НАЗРАНЬ,ТЕРРИТОРИЯ ЦЕНТРАЛЬНЫЙ ОКРУГ,10.01.2017,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАТ-В""",Юридическое лицо,Малое предприятие,7733008229,77 - г.Москва,,,01.08.2016,Да,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАТ""",Юридическое лицо,Малое предприятие,7708405790,77 - г.Москва,,,10.07.2022,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРБОН СТРОЙ""",Юридическое лицо,Среднее предприятие,9201003784,91 - Республика Крым,г Симферополь,,01.08.2016,Нет,172.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРГО КОНСАЛТ ГРУПП""",Юридическое лицо,Малое предприятие,9721094080,77 - г.Москва,,,10.07.2023,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРДИНАЛ""",Юридическое лицо,Малое предприятие,7447263059,74 - Челябинская область,г Челябинск,,01.08.2016,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЕЛ КЛИМАТ""",Юридическое лицо,Малое предприятие,1001186776,10 - Республика Карелия,г Петрозаводск,,01.08.2016,Да,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРКАС-ПРО""",Юридическое лицо,Малое предприятие,5905070532,59 - Пермский край,г Пермь,,10.03.2022,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРКАС""",Юридическое лицо,Малое предприятие,2456005344,24 - Красноярский край,г Назарово,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРПЕНТЕР""",Юридическое лицо,Малое предприятие,5030084977,50 - Московская область,,д Алабино,01.08.2016,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРРЕТЕРА""",Юридическое лицо,Малое предприятие,7707415556,77 - г.Москва,,,10.07.2018,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРС""",Юридическое лицо,Малое предприятие,5034054229,50 - Московская область,,,10.07.2017,Нет,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРСТ""",Юридическое лицо,Среднее предприятие,7801106690,78 - г.Санкт-Петербург,,,10.11.2020,Да,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРСТРОЙ""",Юридическое лицо,Малое предприятие,9729011159,77 - г.Москва,,,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРТЕЛЬ""",Юридическое лицо,Малое предприятие,5257054166,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Да,46.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЬЕРСТРОЙ""",Юридическое лицо,Малое предприятие,2130166057,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.08.2020,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАС-СТРОЙ""",Юридическое лицо,Среднее предприятие,7723902349,50 - Московская область,г Солнечногорск,,01.08.2016,Да,1.0
